"geoCode","covid.symptoms","covid.testing","loss.of.smell","loss.of.taste","covid","iphone"
"AL",95,36,100,91,64,94
"AK",43,28,46,29,80,77
"AZ",92,79,88,86,91,81
"AR",91,34,85,86,69,91
"CA",99,100,90,94,100,90
"CO",54,40,43,47,71,77
"CT",70,81,55,53,87,87
"DE",63,88,49,65,79,83
"DC",44,64,25,32,80,76
"FL",62,64,45,45,67,90
"GA",90,68,89,83,72,99
"HI",36,42,15,22,75,100
"ID",60,22,72,76,64,69
"IL",58,39,50,51,68,82
"IN",77,47,79,85,70,80
"IA",60,21,55,55,58,73
"KS",76,42,80,71,68,94
"KY",69,37,64,70,63,89
"LA",74,28,75,69,52,97
"ME",74,53,41,41,90,74
"MD",62,53,51,54,69,86
"MA",79,87,62,63,95,86
"MI",56,27,42,48,64,76
"MN",51,39,35,37,73,75
"MS",82,26,90,78,55,100
"MO",75,37,79,74,65,78
"MT",52,15,70,65,73,66
"NE",59,22,58,58,59,79
"NV",68,66,70,69,73,81
"NH",81,49,63,70,87,76
"NJ",63,53,51,54,73,86
"NM",67,41,49,51,79,84
"NY",64,50,47,47,74,84
"NC",83,59,68,68,71,89
"ND",39,19,33,38,61,65
"OH",78,40,84,81,70,79
"OK",92,36,90,85,72,81
"OR",58,28,31,35,72,72
"PA",83,44,76,77,78,78
"RI",59,93,56,58,90,78
"SC",89,68,77,80,71,91
"SD",54,17,74,79,71,68
"TN",99,53,98,100,89,90
"TX",80,58,84,82,69,91
"UT",71,48,60,58,72,88
"VT",51,43,33,39,98,73
"VA",71,48,58,58,70,86
"WA",57,40,33,39,74,80
"WV",100,43,69,77,83,81
"WI",60,47,52,55,69,70
"WY",50,14,47,55,60,64
